;support;itemsets
0;0.16447368421052633;Abies pinsapo
1;0.1;Arenaria erinacea
2;0.10921052631578948;Brachypodium retusum
3;0.12894736842105264;Bupleurum fruticescens subsp. spinosum
4;0.16842105263157894;Cerastium gibraltaricum
5;0.16578947368421051;Cistus albidus
6;0.13421052631578947;Crataegus monogyna
7;0.11578947368421053;Dactylis glomerata subsp. hispanica
8;0.16842105263157894;Daphne gnidium
9;0.12631578947368421;Helichrysum stoechas
10;0.15394736842105264;Helleborus foetidus
11;0.13289473684210526;Juniperus oxycedrus subsp. oxycedrus
12;0.11710526315789474;Linaria tristis
13;0.16710526315789473;Phlomis purpurea
14;0.14210526315789473;Quercus rotundifolia
15;0.11842105263157894;Rhamnus myrtifolia
16;0.13289473684210526;Rubia peregrina
17;0.13026315789473683;Thymus mastichina subsp. mastichina
18;0.2236842105263158;Ulex baeticus subsp. baeticus
19;0.10526315789473684;Cistus albidus, Daphne gnidium
20;0.10394736842105264;Cistus albidus, Phlomis purpurea
21;0.10394736842105264;Cistus albidus, Ulex baeticus subsp. baeticus
22;0.10263157894736842;Juniperus oxycedrus subsp. oxycedrus, Ulex baeticus subsp. baeticus
23;0.10657894736842105;Phlomis purpurea, Ulex baeticus subsp. baeticus
